Component,Price in USD,Description,Link
Adafruit Feather RP2040 Adalogger,15,main board,https://eu.mouser.com/ProductDetail/Adafruit/5980?qs=IKkN%2F947nfCnlS5PgbpnkA%3D%3D
Adafruit I2S MEMS ICS-43434,5,microphone,https://eu.mouser.com/ProductDetail/Adafruit/6049?qs=olJun0bQHM88XeFsw90dVw%3D%3D
SG92R,6,servo motor,https://eu.mouser.com/ProductDetail/Adafruit/169?qs=GURawfaeGuBHe0ZgcSsTjA%3D%3D
Adafruit MiniBoost 5V,3,booster,https://https:eu.mouser.com/ProductDetail/Adafruit/3661?qs=W0yvOO0ixfEzr%2F%252BSbf0hYQ%3D%3D
Li-Po Battery LP852040,8.67,battery,https://www.akyga.com/products/873-li-po-battery-lp852040-akyga-aky0661-3-7v-620mah-pcm-jst-2-pin-connector-150mm.html
JST-PH 2.0,0.75,battery cable,https://https:eu.mouser.com/ProductDetail/Adafruit/261?qs=GURawfaeGuDeA9XsXeF0ug%3D%3D
CNC KitchenHeat Set Inserts,15.47, threaded insert,https://www.3djake.hu/cnc-kitchen/m25-standard-menetbetet?sai=15444
 cylinder head M 2,8, screws,https://www.amazon.com/WZHUIDA-Screws-Assortment-M2x4mm-Washers/dp/B0F93XL3WK/ref=sr_1_8?crid=3GG71MWCZ1ATH&dib=eyJ2IjoiMSJ9.bJmSRx0fTW4Nuo1Ws-nwrforW57EpTe0ZCpBm32fW7HS6qFWlZ01KHaYa7Ovih0iE2u_Oou84YRr4Oit4l9-jClSgThBtNAF8MmLX6Nt7HrZslr0eGZ7Pg3K5B0Y2gE0aiseIlp9XaQJ-5Q8f08yC2WWd5x--uGyAuwFGflfHEV34gxyQL-fP_bMoExulEbeg0BEPVQQ52OzriXOUvznFtL6waU-CzwaI0qzrzumvYk.hFhaWtfrMGVPvZDL2boMsuEKIYHyJcRUHRgNFej2ZH4&dib_tag=se&keywords=screw%2Bcylinder%2Bhead%2Bm2%2Bx%2B6&qid=1779656474&sprefix=screw%2Bcylinder%2Bhead%2Bm2%2Bx%2B%2Caps%2C239&sr=8-8&th=1
Dupont wires,6,jumper wires,https://www.amazon.com/California-JOS-Breadboard-Optional-Multicolored/dp/B0BRTJXND9/ref=sr_1_3?crid=1W89FLOX7LIGD&dib=eyJ2IjoiMSJ9.SszVHKRXXxbEIG2ErBYrie2KzCkO4T65B91w6fTioeukwnR3EUmExJc8uF3q_qFfS4ZYrBavI4IztsW8LaddICn7wmukpXjriObjfiUIRDg4TqwYdOnKGwMduunjtKrF0JdKYd7gWwlneB2AwFR8ucVyEeOTPLMxDI28Pr7A0kIv1NN0-f4JF7YZPYXHXPRB21RwCtwzGbJsz7C1Ql_Y9D_JAVLlQs2NnELRMPh2qN4.zaMUYYbvRuriO4H-hys5oGMYQwPETU2Rgpj0c0SWHOU&dib_tag=se&keywords=dupont%2Bwires&qid=1779656564&sprefix=dupont%2Bwires%2Caps%2C261&sr=8-3&th=1
MICROSD MEMORY CARD,12.89,sd card,https://https:eu.mouser.com/ProductDetail/DFRobot/FIT0394?qs=lqAf%2FiVYw9isxJnGlF1v2Q%3D%3D
